id,milestone,priority,title,owner_role,size,status,dependencies,requirement_ids,acceptance_ids,deliverable,acceptance_criteria
WX-M0-001,M0,Must,Create normative monorepo directory skeleton,technical_lead,S,todo,,NFR-M-004,,Directories/workspaces from AGENTS.md with placeholder READMEs only where required.,pnpm and uv discover all intended packages; no implementation is outside the ownership map.
WX-M0-002,M0,Must,"Pin Node, pnpm, Python, uv, lint and test toolchains",operations_owner,S,todo,WX-M0-001,NFR-SEC-006;NFR-C-001;NFR-C-002,,"Version files, packageManager, uv lock/tool config and bootstrap checks.",Clean supported host reports exact versions and bootstrap fails clearly on incompatible versions.
WX-M0-003,M0,Must,Install and validate JSON Schema 2020-12 contracts,data_owner,S,todo,WX-M0-001,NFR-M-003;NFR-C-004,,Schema validation package and CI command.,Every schema and example validates; invalid fixture fails with field path.
WX-M0-004,M0,Must,Generate TypeScript and Python contract types,technical_lead,M,todo,WX-M0-003,NFR-M-003,,Reproducible code generation into packages/contracts.,Generated output is deterministic and CI rejects drift.
WX-M0-005,M0,Must,Validate OpenAPI and generate SDK stubs,control_plane_owner,M,todo,WX-M0-003;WX-M0-004,NFR-C-003,,OpenAPI validation plus TS/Python clients/server types.,Every operationId generates and reference clients compile.
WX-M0-006,M0,Must,Build deterministic HTTP and browser fixture origin,quality_owner,L,todo,WX-M0-002,NFR-M-002,,"Local fixture service for HTML, SPA, redirects, auth, feeds, APIs and failure modes.",Fixture version is deterministic and test cases run without public internet.
WX-M0-007,M0,Must,Build adversarial security fixture corpus,security_owner,L,todo,WX-M0-006,NFR-SEC-010,AC-005;AC-006;AC-007,SSRF/DNS/browser/archive/document/secret canary fixtures.,Protected endpoints prove no denied request reaches them and fixtures are licensed/local.
WX-M0-008,M0,Must,Create component lock resolver and manifest,operations_owner,M,todo,WX-M0-002,NFR-SEC-006,,"Tool resolves package, image, browser and optional model digests.",Release mode rejects unresolved/latest versions and emits machine-readable lock.
WX-M0-009,M0,Must,"Create dependency inventory, SBOM and notice pipeline",technical_lead,M,todo,WX-M0-008,NFR-SEC-006,,Dependency/license report and THIRD_PARTY_NOTICES generation.,All direct components appear with license/source/version; unresolved license blocks release.
WX-M0-010,M0,Must,"Configure format, lint, typecheck and unit test targets",quality_owner,M,todo,WX-M0-002;WX-M0-004,NFR-M-007,,Unified Make targets for TS/Python/SQL/shell/docs.,Targets pass on empty scaffold and fail on seeded violations.
WX-M0-011,M0,Must,"Add documentation link, ID and CSV validators",quality_owner,S,todo,WX-M0-010,NFR-M-006,,"docs-check validates local links, requirement/ADR/backlog IDs and CSV dependencies.","A broken link, duplicate backlog ID or dependency cycle fails CI."
WX-M0-012,M0,Must,Create reference Compose skeleton and profile validation,operations_owner,M,todo,WX-M0-001;WX-M0-008,NFR-S-004;NFR-SEC-002,,Rootless-oriented compose profiles with internal networks and placeholder locked images.,Compose validates; no sensitive service publishes 0.0.0.0; no Docker socket/home mounts.
WX-M0-013,M0,Must,Establish pull-request CI and release-check orchestration,quality_owner,M,todo,WX-M0-003;WX-M0-005;WX-M0-010;WX-M0-011;WX-M0-012,NFR-M-002,,CI workflows and make bootstrap/release commands.,M0 exit-gate command passes in clean CI using only local fixtures.
WX-M1-001,M1,Must,Implement typed configuration loader and schema,control_plane_owner,M,todo,WX-M0-004,FR-007;FR-008;FR-141;NFR-SEC-009,AC-016,"YAML/env interpolation, validation, effective redacted config.","Reject unknown fields, unsafe exposure, Ollama runtime and external model endpoints."
WX-M1-002,M1,Must,Implement SQLite migration framework and baseline schema,data_owner,L,todo,WX-M0-003;WX-M1-001,FR-005;FR-160;NFR-R-001;NFR-M-005;NFR-S-007,,Explicit migrations based on reference SQL.,Empty and prior fixture DB migrate transactionally; checksums recorded; foreign keys enabled.
WX-M1-003,M1,Must,"Implement actor, API key and Unix-socket authentication",security_owner,L,todo,WX-M1-001;WX-M1-002,FR-002;FR-011;NFR-SEC-007;NFR-SEC-009,,Local peer actor and loopback scoped bearer auth.,Unauthorized routes fail; socket ACL checks and token rotation tests pass.
WX-M1-004,M1,Must,"Implement role, visibility and collection policy engine",security_owner,L,todo,WX-M1-002;WX-M1-003,FR-074;FR-086;FR-095;NFR-SEC-007;NFR-PR-003,AC-011;AC-026,Deterministic policy decision and effective limits.,Deny wins; visibility never downgrades; decision hash is attached to jobs.
WX-M1-005,M1,Must,Implement URL normalization and canonical URL keys,control_plane_owner,M,todo,WX-M1-001,FR-030;FR-059;NFR-L-003,,Standards-based URL parser/normalizer with test corpus.,Idempotent normalization preserves meaningful Unicode/path/query semantics and rejects URL credentials.
WX-M1-006,M1,Must,Implement DNS/IP/redirect SSRF policy library,security_owner,L,todo,WX-M1-004;WX-M1-005;WX-M0-007,FR-031;FR-032;FR-044;NFR-SEC-001;NFR-SEC-010,AC-005;AC-006,"Shared resolver, address classifier and connection grant.",All encoded IPv4/IPv6/private/link-local/metadata/rebind fixtures are blocked before connection.
WX-M1-007,M1,Must,"Implement durable jobs, leases and state machine",control_plane_owner,L,todo,WX-M1-002;WX-M1-004,FR-005;FR-010;NFR-R-003,,"SQLite queue, claim/heartbeat/expiry/retry/dead letter.",A job survives restart; illegal transitions fail; leases are safely reclaimed.
WX-M1-008,M1,Must,Implement idempotency and cancellation,control_plane_owner,M,todo,WX-M1-007,FR-005;FR-006;NFR-R-004,,Actor-scoped idempotency records and cooperative cancellation.,Same request/key returns same job; body conflict returns stable error; cancellation is terminal-safe.
WX-M1-009,M1,Must,Implement content-addressed blob and artifact metadata store,data_owner,L,todo,WX-M1-002,FR-070;FR-073;NFR-S-005;NFR-S-006,,"SHA-256 blob paths, metadata, references and verification.",Duplicate bytes reuse blob; paths cannot escape root; corrupt hash fails commit.
WX-M1-010,M1,Must,Implement atomic artifact commit coordinator,data_owner,L,todo,WX-M1-007;WX-M1-009,FR-071;NFR-R-005,,Staging/fsync/finalization plus DB transaction and crash recovery journal.,Fault injection at each commit point yields zero or one complete committed artifact set.
WX-M1-011,M1,Must,Implement Markdown visit receipt writer,content_owner,M,todo,WX-M1-010;WX-M0-003,FR-050;FR-063,AC-005,Schema-valid system-generated receipt for synthetic jobs and denials.,Each terminal admitted synthetic visit has exactly one immutable receipt with safe error context.
WX-M1-012,M1,Must,Implement audit event store and redaction,security_owner,M,todo,WX-M1-003;WX-M1-004;WX-M1-007,FR-011;FR-164;NFR-SEC-004;NFR-O-003;NFR-D-007;NFR-PR-005,AC-028,Append-only hash-chained safe audit records.,Sensitive fixture values are absent; required actions generate correlated records.
WX-M1-013,M1,Must,Implement webxd health/version/capabilities and Unix socket,control_plane_owner,L,todo,WX-M1-001;WX-M1-002;WX-M1-003;WX-M1-007;WX-M1-010,FR-002;FR-009;NFR-O-005,,Fastify daemon core routes and readiness checks.,Live/ready semantics distinguish optional degradation and fail on unwritable storage/migration mismatch.
WX-M1-014,M1,Must,"Implement CLI status, config, jobs and artifacts commands",control_plane_owner,L,todo,WX-M1-013;WX-M0-005,FR-001;FR-003;FR-004;FR-005;FR-007;FR-009;FR-073;NFR-A-002;NFR-A-003;NFR-P-003,AC-022,Generated SDK client and canonical CLI basics.,"Human, JSON and JSONL outputs conform; exit codes/error mapping are stable."
WX-M1-015,M1,Must,"Qualify daemon restart, policy denial and synthetic receipt slice",quality_owner,M,todo,WX-M1-006;WX-M1-008;WX-M1-011;WX-M1-014;WX-M1-904,FR-005;FR-044;FR-050;NFR-R-001;NFR-R-002;NFR-SEC-011,AC-005;AC-019,M1 integration/security suite and gate evidence.,Restart/cancel/SSRF/receipt tests pass and webxd remains healthy after worker simulation.
WX-M1-901,M1,Must,Implement mandatory egressd gateway and internal-only worker networks,security_platform_owner,L,todo,WX-M1-006;WX-M1-007,FR-031;FR-032;FR-044;NFR-SEC-001;NFR-SEC-010;NFR-SEC-011,AC-005;AC-006;AC-019,"Fail-closed HTTP CONNECT and SOCKS5h egress gateway with attempt-scoped sessions, destination grants and connection pinning.","Workers have no direct WAN route; every origin connection is authorized by webxd, pinned to an admitted address and correlated to one live attempt."
WX-M1-902,M1,Must,Implement egress authorization callback and attempt-bound grant lifecycle,control_plane_owner,M,todo,WX-M1-007;WX-M1-901,FR-005;FR-044;NFR-R-003,AC-005;AC-006;AC-007,"Internal authorization API, short-lived grants, budget counters, revocation and audit correlation.","Unknown, expired, canceled, over-budget or mismatched attempts are denied before connection and grants cannot be reused across jobs."
WX-M1-903,M1,Must,Deploy rootless egressd with deny-by-default network topology,operations_owner,M,todo,WX-M1-901;WX-M1-902,FR-044;NFR-SEC-002;NFR-SEC-010;NFR-S-004;NFR-SEC-011,AC-005;AC-006;AC-029,Compose and systemd topology where only egressd has origin-facing network access and all worker networks are internal.,Network inspection and packet canaries prove workers cannot reach public or protected addresses except through an authorized egressd session.
WX-M1-904,M1,Must,"Qualify egress gateway bypass, rebinding and crash-containment controls",quality_owner,L,todo,WX-M1-902;WX-M1-903,FR-031;FR-032;FR-033;FR-044;NFR-R-003;NFR-SEC-010;NFR-SEC-011,AC-005;AC-006;AC-007;AC-019,"Adversarial suite for direct sockets, alternate DNS paths, redirect pivots, rebinding, gateway restart and canceled attempts.",No denied packet reaches protected fixtures; gateway or worker failure creates no accepted partial artifacts and active grants are safely invalidated.
WX-M2-001,M2,Must,Implement bounded HTTP transport and response streaming,retrieval_owner,L,todo,WX-M1-006;WX-M1-007;WX-M1-010,FR-030;FR-033;FR-040;NFR-P-004,AC-001;AC-007,HTTP GET/HEAD engine with wire/decompressed/time budgets.,Static fixture succeeds; oversized/compression fixtures abort without memory/disk overrun.
WX-M2-002,M2,Must,"Implement redirects, conditional requests and cache metadata",retrieval_owner,M,todo,WX-M2-001,FR-032;FR-035;FR-043,AC-002;AC-006,"Redirect chain, ETag/Last-Modified and cache validators.",Every redirect is reauthorized; unchanged fixture uses validators and records metadata.
WX-M2-003,M2,Must,"Implement charset, MIME and language detection",content_owner,M,todo,WX-M2-001,FR-040;FR-051;NFR-L-001,,Bounded detection and normalized UTF-8 representation.,Representative encodings/languages round-trip without corrupting code/diacritics.
WX-M2-004,M2,Must,Implement embedded structured metadata extraction,content_owner,M,todo,WX-M2-003,FR-055,,extruct-based JSON-LD/Microdata/RDFa/OpenGraph/DC output.,Fixture metadata is deterministic and malformed records produce warnings not crashes.
WX-M2-005,M2,Must,Implement main-content extraction comparison,content_owner,L,todo,WX-M2-003,FR-039;FR-056,AC-001,Trafilatura/Readability deterministic candidates and quality selection.,Article/table/code fixtures select expected content and preserve source evidence.
WX-M2-006,M2,Must,Implement HTML sanitization and trust labeling,security_owner,L,todo,WX-M2-004;WX-M2-005;WX-M0-007,FR-053;FR-054;NFR-SEC-003,AC-028,DOM sanitizer removing active content and source-injected frontmatter.,Scripts/forms/events/javascript URLs/hidden injection fixtures are removed or labeled; prose remains untrusted.
